,HHID,HH_Size,URBAN,District,State_code,Combined_multiplier
615,713262202,3,0,06,17,1321.45
616,713251101,7,0,07,17,187.75
617,713251102,5,0,07,17,187.75
618,713251201,6,0,07,17,178.37
619,713251202,5,0,07,17,178.37
620,713251203,3,0,07,17,178.37
621,713251204,5,0,07,17,178.37
622,713251301,3,0,07,17,1070.18
623,713251302,6,0,07,17,1070.18
624,713231101,6,0,07,17,90.23
625,713231102,4,0,07,17,90.23
626,713231201,2,0,07,17,288.75
627,713231202,7,0,07,17,288.75
628,713231203,6,0,07,17,288.75
629,713231204,4,0,07,17,288.75
630,713231301,4,0,07,17,1362.51
631,713231302,6,0,07,17,1362.51
632,713201101,8,0,07,17,105.32
633,713201201,4,0,07,17,179.04
634,713201202,9,0,07,17,179.04
635,713201301,6,0,07,17,526.57
636,713202102,7,0,07,17,168.5
637,713202201,3,0,07,17,305.41
638,713202202,6,0,07,17,305.41
639,713202301,6,0,07,17,821.45
640,713281101,5,0,07,17,72.14
641,713281201,4,0,07,17,220.01
642,713281202,4,0,07,17,220.01
643,713281301,5,0,07,17,403.95
644,713282101,4,0,07,17,288.54
645,713282201,4,0,07,17,779.05
646,713282202,5,0,07,17,779.05
647,713282301,4,0,07,17,894.47
648,713691101,6,0,01,17,455.26
649,713691102,7,0,01,17,455.26
650,713691201,4,0,01,17,455.26
651,713691202,4,0,01,17,455.26
652,713691203,3,0,01,17,455.26
653,713691204,4,0,01,17,455.26
654,713691301,2,0,01,17,1183.67
655,713691302,7,0,01,17,1183.67
656,713671101,5,0,01,17,268.43
657,713671102,5,0,01,17,268.43
658,713671201,5,0,01,17,648.69
659,713671202,3,0,01,17,648.69
660,713671203,8,0,01,17,648.69
661,713671204,1,0,01,17,648.69
662,713671301,4,0,01,17,626.32
663,713671302,3,0,01,17,626.32
664,713641101,5,0,01,17,224.53
665,713641102,2,0,01,17,224.53
666,713641201,6,0,01,17,249.48
667,713641202,6,0,01,17,249.48
668,713641203,6,0,01,17,249.48
669,713641204,3,0,01,17,249.48
670,713641301,7,0,01,17,1172.54
671,713641302,6,0,01,17,1172.54
672,713611101,5,0,01,17,191.08
673,713611102,4,0,01,17,191.08
674,713611201,6,0,01,17,343.95
675,713611202,3,0,01,17,343.95
676,713611203,5,0,01,17,343.95
677,713611204,6,0,01,17,343.95
678,713611301,4,0,01,17,936.3
679,713611302,6,0,01,17,936.3
680,713621101,4,0,01,17,127.14
681,713621102,7,0,01,17,127.14
682,713621201,7,0,01,17,298.77
683,713621202,7,0,01,17,298.77
684,713621203,7,0,01,17,298.77
685,713621204,4,0,01,17,298.77
686,713621301,5,0,01,17,1118.8
687,713621302,6,0,01,17,1118.8
688,713661101,14,0,01,17,87.56
689,713661201,3,0,01,17,161.99
690,713661202,4,0,01,17,161.99
691,713661301,7,0,01,17,560.39
692,713662101,6,0,01,17,350.24
693,713662201,4,0,01,17,525.36
694,713662202,4,0,01,17,525.36
695,713662301,6,0,01,17,1751.2
696,713651101,2,0,02,17,391.32
697,713651102,5,0,02,17,391.32
698,713651201,4,0,02,17,391.32
699,713651202,3,0,02,17,391.32
700,713651203,3,0,02,17,391.32
701,713651204,5,0,02,17,391.32
702,713651301,6,0,02,17,1062.16
703,713651302,6,0,02,17,1062.16
704,713631101,9,0,02,17,290.15
705,713631102,8,0,02,17,290.15
706,713631201,5,0,02,17,435.22
707,713631202,7,0,02,17,435.22
708,713631203,7,0,02,17,435.22
709,713631204,6,0,02,17,435.22
710,713631301,4,0,02,17,1305.66
711,713631302,4,0,02,17,1305.66
712,713601101,6,0,02,17,183.01
713,713601102,9,0,02,17,183.01
714,713601201,8,0,02,17,366.01
715,713601202,6,0,02,17,366.01
716,713601203,6,0,02,17,366.01
717,713601204,6,0,02,17,366.01
718,713601301,7,0,02,17,988.22
719,713601302,5,0,02,17,988.22
720,713681101,5,0,03,17,182.49
721,713681102,9,0,03,17,182.49
722,713681201,4,0,03,17,288.94
723,713681202,6,0,03,17,288.94
724,713681203,5,0,03,17,288.94
725,713681204,7,0,03,17,288.94
726,713681301,7,0,03,17,912.44
727,713681302,5,0,03,17,912.44
728,713591101,5,0,03,17,224.73
729,713591102,6,0,03,17,224.73
730,713591201,4,0,03,17,438.21
731,713591202,5,0,03,17,438.21
732,713591203,5,0,03,17,438.21
733,713591204,5,0,03,17,438.21
734,713591301,6,0,03,17,337.09
735,713591302,7,0,03,17,337.09
736,713571101,3,0,04,17,490.99
737,713571102,5,0,04,17,490.99
738,713571201,6,0,04,17,306.87
739,713571202,4,0,04,17,306.87
740,713571203,5,0,04,17,306.87
741,713571204,6,0,04,17,306.87
742,713571301,5,0,04,17,675.11
743,713571302,2,0,04,17,675.11
744,713541101,2,0,04,17,127.07
